Wall time,Step,Value
1700621139.0336547,3615,0.8399999737739563
1700621140.1113858,3617,0.8500000238418579
1700621145.9043968,3631,0.7200000286102295
1700621153.9858227,3655,0.6899999976158142
1700621155.5960639,3658,0.6100000143051147
1700621156.6724439,3660,0.8299999833106995
1700621157.7443058,3662,0.7400000095367432
1700621159.3216171,3665,0.800000011920929
1700621161.4256184,3669,0.8100000023841858
1700621162.5719547,3672,0.5299999713897705
1700621168.730563,3691,0.75
1700621178.4031827,3713,0.699999988079071
1700621180.7879882,3718,0.8700000047683716
1700621191.3690236,3749,0.800000011920929
1700621194.538752,3755,0.75
1700621198.2749784,3762,0.7200000286102295
1700621199.1356645,3764,0.5899999737739563
1700621205.3757892,3783,0.8100000023841858
1700621231.9827623,3849,0.7300000190734863
1700621233.026196,3851,0.7300000190734863
1700621240.1285453,3870,0.47999998927116394
1700621254.0670907,3903,0.7099999785423279
1700621256.940297,3912,0.699999988079071
1700621258.2698069,3916,0.7599999904632568
1700621260.2373135,3922,0.6399999856948853
1700621264.4476843,3934,0.7699999809265137
1700621266.0988412,3937,0.800000011920929
1700621278.6800625,3967,0.7699999809265137
1700621281.5707898,3976,0.8899999856948853
1700621284.3011317,3982,0.6800000071525574
1700621300.642929,4013,0.6800000071525574
1700621301.6588113,4015,0.7300000190734863
1700621306.3933694,4024,0.6000000238418579
1700621311.0250657,4035,0.699999988079071
1700621313.0299852,4041,0.7799999713897705
1700621315.3163776,4048,0.7699999809265137
1700621330.5521214,4085,0.800000011920929
1700621339.6349807,4110,0.8500000238418579
1700621342.723452,4116,0.5799999833106995
1700621345.7391818,4122,0.8500000238418579
1700621346.7280462,4125,0.7900000214576721
1700621354.0806618,4147,0.7699999809265137
1700621368.7834008,4182,0.6700000166893005
1700621372.4134483,4193,0.7900000214576721
1700621387.1570342,4228,0.8600000143051147
1700621395.4391246,4250,0.6499999761581421
1700621397.0428338,4253,0.800000011920929
1700621399.7070127,4258,0.8100000023841858
1700621423.316888,4319,0.8299999833106995
1700621424.9064927,4324,0.8299999833106995
1700621426.5462062,4329,0.8399999737739563
1700621428.5554674,4335,0.47999998927116394
1700621454.3535268,4396,0.7300000190734863
1700621469.4978433,4436,0.8600000143051147
1700621473.744654,4444,0.6399999856948853
1700621478.0005844,4455,0.75
1700621481.907142,4467,0.75
1700621491.9918866,4490,0.6000000238418579
1700621504.859061,4526,0.6600000262260437
1700621510.2572598,4536,0.7400000095367432
1700621512.3319077,4540,0.5699999928474426
1700621520.4385843,4565,0.5699999928474426
1700621521.7378132,4569,0.6399999856948853
1700621524.476601,4575,0.6700000166893005
1700621538.34802,4610,0.8199999928474426
1700621539.2882912,4613,0.8500000238418579
1700621554.5892475,4650,0.7200000286102295
1700621557.8165686,4660,0.7699999809265137
1700621567.006845,4679,0.6600000262260437
1700621569.9822752,4687,0.800000011920929
1700621571.2900167,4691,0.7599999904632568
1700621571.9629214,4693,0.6100000143051147
1700621573.932429,4699,0.8399999737739563
1700621576.9808154,4708,0.6800000071525574
1700621587.7157722,4731,0.5299999713897705
1700621590.0446732,4738,0.699999988079071
1700621598.1570446,4760,0.7799999713897705
1700621601.8066077,4767,0.5899999737739563
1700621604.7246037,4773,0.3799999952316284
1700621606.086199,4777,0.7799999713897705
1700621606.4455261,4778,0.8299999833106995
1700621617.6128974,4808,0.5899999737739563
1700621627.0955083,4831,0.6700000166893005
1700621627.7584996,4833,0.8399999737739563
1700621628.9704251,4836,0.7400000095367432
1700621629.4390237,4837,0.800000011920929
1700621632.0717883,4845,0.7799999713897705
1700621647.8218775,4883,0.8399999737739563
1700621652.5524263,4896,0.5299999713897705
1700621660.3485472,4911,0.800000011920929
1700621666.5031092,4930,0.7900000214576721
1700621667.8370929,4934,0.7900000214576721
1700621670.2018712,4941,0.8299999833106995
1700621674.8888912,4950,0.7300000190734863
1700621686.3192894,4981,0.6100000143051147
1700621691.022149,4992,0.8899999856948853
1700621707.95313,5024,0.6000000238418579
1700621718.366762,5048,0.699999988079071
1700621724.61479,5067,0.699999988079071
1700621731.4246783,5080,0.75
1700621731.9343083,5081,0.6700000166893005
1700621734.977161,5089,0.6600000262260437
1700621735.626754,5091,0.5600000023841858
1700621752.8280897,5133,0.7099999785423279
1700621754.0909379,5137,0.7400000095367432
1700621755.3634086,5141,0.5699999928474426
1700621758.9163535,5152,0.699999988079071
1700621759.2313788,5153,0.6899999976158142
1700621759.8582258,5155,0.7200000286102295
1700621760.1760595,5156,0.699999988079071
1700621773.9738462,5188,0.8399999737739563
1700621777.633583,5199,0.7300000190734863
1700621778.2785416,5201,0.8700000047683716
1700621779.9139075,5206,0.7300000190734863
1700621780.7439163,5208,0.8199999928474426
1700621786.539666,5219,0.7099999785423279
1700621789.6657674,5226,0.8199999928474426
1700621793.9252994,5239,0.7099999785423279
1700621798.6684718,5254,0.8500000238418579
1700621803.381833,5263,0.6700000166893005
1700621804.9568527,5266,0.8700000047683716
1700621816.0862987,5296,0.7799999713897705
1700621826.811934,5319,0.8199999928474426
1700621827.1627605,5320,0.8399999737739563
1700621828.1405034,5323,0.8100000023841858
1700621828.8010597,5325,0.7400000095367432
1700621830.1243794,5329,0.6600000262260437
1700621832.1154892,5335,0.6399999856948853
1700621844.5405688,5363,0.6299999952316284
1700621847.122336,5371,0.7400000095367432
1700621855.4984105,5394,0.6100000143051147
1700621860.8260686,5404,0.6899999976158142
1700621877.0287993,5446,0.7099999785423279
1700621881.473679,5455,0.6899999976158142
1700621883.0831347,5460,0.8199999928474426
1700621904.5764976,5505,0.7400000095367432
1700621906.239754,5510,0.6700000166893005
1700621910.189779,5522,0.5199999809265137
1700621928.3921525,5568,0.7799999713897705
1700621943.7230527,5605,0.7400000095367432
1700621967.6220498,5668,0.800000011920929
1700621991.0759618,5724,0.6899999976158142
1700621994.8190832,5731,0.7200000286102295
1700622004.3778358,5759,0.5600000023841858
1700622015.168693,5782,0.75
1700622017.739053,5790,0.7799999713897705
1700622035.097246,5833,0.75
1700622047.965159,5867,0.7099999785423279
1700622053.4928093,5880,0.7900000214576721
1700622054.4634457,5883,0.8199999928474426
1700622079.3227856,5949,0.6800000071525574
1700622083.3695738,5957,0.6700000166893005
1700622087.557703,5965,0.7099999785423279
1700622093.3195767,5982,0.7200000286102295
1700622096.290157,5991,0.550000011920929
1700622098.978129,5998,0.8299999833106995
1700622107.2956188,6004,0.699999988079071
1700622109.2699165,6010,0.7200000286102295
1700622124.2111585,6046,0.75
1700622126.8253934,6054,0.8700000047683716
1700622135.3282454,6079,0.800000011920929
1700622135.8697662,6080,0.800000011920929
1700622149.0194209,6112,0.7699999809265137
1700622149.6621745,6114,0.7400000095367432
1700622158.2830448,6134,0.8100000023841858
1700622160.956248,6139,0.6700000166893005
1700622161.7542987,6141,0.7799999713897705
1700622162.4235048,6143,0.6200000047683716
1700622170.9925911,6169,0.7599999904632568
1700622186.986202,6206,0.75
1700622195.0581977,6226,0.75
1700622202.5313926,6244,0.75
1700622217.5640552,6280,0.8199999928474426
1700622218.2107754,6282,0.8199999928474426
1700622224.3408701,6301,0.7400000095367432
1700622237.944359,6333,0.7699999809265137
1700622238.5848634,6335,0.7599999904632568
1700622242.8328974,6348,0.8199999928474426
1700622246.9059756,6359,0.75
1700622247.4689302,6360,0.5799999833106995
1700622250.0977144,6365,0.7900000214576721
1700622252.7117257,6370,0.7400000095367432
1700622265.80537,6407,0.8399999737739563
1700622274.4333618,6425,0.7900000214576721
1700622280.474969,6444,0.7099999785423279
1700622287.3838062,6460,0.8399999737739563
1700622293.4711502,6474,0.6700000166893005
1700622299.3751485,6492,0.75
1700622300.3625524,6495,0.7400000095367432
1700622314.6426048,6529,0.7799999713897705
1700622315.6349602,6532,0.6600000262260437
1700622318.5438628,6541,0.7300000190734863
1700622321.0288165,6547,0.7300000190734863
1700622323.5805967,6552,0.6899999976158142
1700622329.3886077,6565,0.75
1700622331.0382457,6570,0.6000000238418579
1700622336.3385673,6586,0.8500000238418579
1700622338.2195694,6591,0.7400000095367432
1700622340.8459275,6596,0.8100000023841858
1700622342.9002547,6600,0.7699999809265137
1700622349.2842102,6616,0.7900000214576721
1700622363.5075157,6650,0.6700000166893005
1700622371.9713733,6674,0.7099999785423279
1700622389.0176868,6716,0.8299999833106995
1700622390.6634278,6721,0.6899999976158142
1700622394.0441399,6731,0.6700000166893005
1700622396.1422627,6735,0.7300000190734863
1700622403.8299735,6751,0.7799999713897705
1700622407.3855045,6762,0.7699999809265137
1700622416.9687674,6786,0.6600000262260437
1700622424.1356063,6803,0.8299999833106995
1700622430.2575758,6822,0.7599999904632568
1700622440.0615416,6843,0.4000000059604645
1700622442.6608553,6851,0.7300000190734863
1700622445.6375525,6860,0.8299999833106995
1700622452.0127816,6876,0.75
1700622466.7946107,6915,0.6100000143051147
1700622467.5450675,6917,0.7599999904632568
1700622469.1401372,6920,0.8500000238418579
1700622474.8436694,6931,0.7599999904632568
1700622477.4534266,6938,0.8100000023841858
1700622492.5174446,6976,0.8299999833106995
1700622498.3488467,6992,0.8299999833106995
1700622499.9266996,6997,0.699999988079071
1700622500.5915773,6999,0.7699999809265137
1700622514.482546,7019,0.8600000143051147
1700622518.0877905,7030,0.3499999940395355
1700622523.0014305,7045,0.6100000143051147
1700622528.3665462,7055,0.7099999785423279
1700622553.6391366,7118,0.800000011920929
1700622554.630542,7121,0.800000011920929
1700622556.6178079,7127,0.7200000286102295
1700622572.2299058,7165,0.8199999928474426
1700622576.6455789,7178,0.8299999833106995
1700622576.9916508,7179,0.6399999856948853
1700622577.65587,7181,0.6600000262260437
1700622580.8181663,7187,0.8500000238418579
1700622589.7564292,7208,0.8899999856948853
1700622595.713587,7226,0.550000011920929
1700622608.1521215,7254,0.800000011920929
1700622615.268201,7275,0.7699999809265137
1700622629.4404974,7309,0.8100000023841858
1700622640.864683,7335,0.7200000286102295
1700622642.6103847,7339,0.7400000095367432
1700622643.2721283,7341,0.6499999761581421
1700622647.517673,7354,0.7799999713897705
1700622649.1462023,7359,0.7799999713897705
1700622652.1786814,7368,0.8100000023841858
1700622661.199424,7386,0.7400000095367432
1700622676.1277578,7425,0.7699999809265137
1700622680.5821238,7436,0.7300000190734863
1700622680.8979053,7437,0.7900000214576721
1700622690.9149919,7465,0.75
1700622692.9634163,7469,0.5799999833106995
1700622693.9799285,7471,0.8299999833106995
1700622700.2468648,7483,0.7699999809265137
1700622711.9732506,7507,0.8299999833106995
1700622717.464107,7519,0.8399999737739563
1700622720.0040817,7527,0.5799999833106995
1700622721.9583154,7533,0.6600000262260437
1700622725.5962026,7544,0.6200000047683716
1700622729.6732419,7552,0.8500000238418579
1700622730.755304,7554,0.7300000190734863
1700622733.8780353,7560,0.7200000286102295
1700622745.3396213,7594,0.7400000095367432
1700622750.1502886,7603,0.6800000071525574
1700622751.2128284,7605,0.6899999976158142
1700622752.7399883,7608,0.8700000047683716
1700622762.6304474,7639,0.6899999976158142
1700622765.630277,7645,0.8199999928474426
1700622773.0966244,7661,0.7300000190734863
1700622773.4208078,7662,0.800000011920929
1700622798.011754,7728,0.75
1700622798.9454012,7731,0.6399999856948853
1700622810.4281638,7757,0.7900000214576721
1700622812.0692065,7762,0.800000011920929
1700622825.948283,7795,0.7599999904632568
1700622826.4240406,7796,0.75
1700622834.9365845,7822,0.8299999833106995
1700622842.9899383,7839,0.7200000286102295
1700622844.9221647,7843,0.7900000214576721
1700622847.5075042,7851,0.6600000262260437
1700622849.1729882,7856,0.6800000071525574
1700622849.5072308,7857,0.6499999761581421
1700622851.490072,7863,0.7699999809265137
1700622860.0266712,7883,0.8299999833106995
1700622865.316239,7896,0.7900000214576721
1700622867.204615,7902,0.7400000095367432
1700622876.5705247,7927,0.8500000238418579
1700622878.1481612,7930,0.8199999928474426
1700622901.6021655,7987,0.6399999856948853
1700622923.5556211,8033,0.8100000023841858
1700622928.034513,8047,0.800000011920929
1700622932.0238261,8055,0.7900000214576721
1700622941.2454388,8078,0.7099999785423279
1700622941.572547,8079,0.8299999833106995
1700622948.0690706,8097,0.6600000262260437
1700622958.9693952,8123,0.7200000286102295
1700622967.028385,8145,0.7400000095367432
1700622975.5923262,8164,0.8100000023841858
1700622975.9043508,8165,0.4699999988079071
1700622986.0297308,8193,0.8199999928474426
1700622990.2693017,8201,0.7699999809265137
1700622990.795802,8202,0.7599999904632568
1700622995.9242132,8217,0.6399999856948853
1700623000.0359838,8230,0.7900000214576721
1700623011.804567,8256,0.6800000071525574
1700623018.8902526,8278,0.7200000286102295
1700623021.1820583,8284,0.7900000214576721
1700623025.3497584,8292,0.75
1700623027.9873133,8297,0.699999988079071
1700623029.8027813,8302,0.6800000071525574
1700623048.4445977,8350,0.7699999809265137
1700623049.4327645,8353,0.7200000286102295
1700623053.0650086,8364,0.6000000238418579
1700623058.3355825,8378,0.7699999809265137
1700623067.3140178,8398,0.800000011920929
1700623072.328757,8412,0.800000011920929
1700623073.9543114,8417,0.7900000214576721
1700623090.241195,8458,0.7400000095367432
1700623104.4465313,8492,0.7799999713897705
1700623108.5502694,8505,0.699999988079071
1700623115.5630322,8522,0.6499999761581421
1700623120.352684,8531,0.8500000238418579
1700623126.2288244,8549,0.7900000214576721
1700623128.230185,8555,0.6100000143051147
1700623131.6762877,8564,0.6200000047683716
1700623148.4757047,8607,0.699999988079071
1700623154.7097979,8619,0.7900000214576721
1700623155.7555974,8621,0.6700000166893005
1700623158.6174695,8628,0.8500000238418579
1700623170.146404,8660,0.6600000262260437
1700623172.2120428,8664,0.8299999833106995
1700623183.600876,8695,0.7300000190734863
1700623185.7051322,8701,0.75
1700623194.5404437,8719,0.75
1700623196.4859035,8725,0.7400000095367432
1700623206.8258214,8753,0.6000000238418579
1700623207.8849585,8755,0.800000011920929
1700623216.5614357,8777,0.75
1700623217.2473712,8779,0.8500000238418579
1700623220.4957101,8789,0.8299999833106995
1700623225.2962334,8800,0.5400000214576721
1700623235.0021565,8824,0.7699999809265137
1700623238.1752944,8834,0.6499999761581421
